,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
2932,2932,16.68437381794036,2026-01-14 07:28:56.427610,2026-01-14 07:32:12.539069,0 days 00:03:16.111459,0.4108903379127769,0.07749676803081443,0.032276751059398895,7.060426528000368,0.1538134754054677,0.0005351603071539303,7.347399657848065,0.07119325028220866,1.6332231909644896,0.6658474440947638,0.03560773247661496,5.019719940165711,0.9164773639722088,COMPLETE
4345,4345,16.690937299593017,2026-01-14 22:06:21.174512,2026-01-14 22:09:36.885871,0 days 00:03:15.711359,0.22865350418745523,0.07857965749502813,0.06679466257656202,7.85738806703653,0.10580385620065924,0.0001963156721794733,7.2259939347069855,0.10903533495224799,2.5799340195526255,0.6001254420367994,0.05118061442330468,4.9753528458960306,0.9461886871938795,COMPLETE
3124,3124,16.69703271090897,2026-01-14 09:47:18.296793,2026-01-14 09:50:12.237172,0 days 00:02:53.940379,0.4389045652846043,0.05153791543367474,0.029938101873093374,9.145457957303295,0.15243295704857363,0.0004900326978893094,7.224070227697158,0.02381055723700657,1.84324681378214,0.6057462111414796,0.059205940164507684,5.064272754003569,0.9986822997832676,COMPLETE
4430,4430,16.701165507803363,2026-01-14 22:47:14.137275,2026-01-14 22:50:31.527223,0 days 00:03:17.389948,0.3781597330309861,0.08867248725828553,0.03252455786123115,7.219221992987002,0.08041719909110737,0.0006073121120900255,7.6311440796456,0.10838462929362039,2.556153056864697,0.6659168789442652,0.017432983051964588,5.368167766916224,0.898507899302709,COMPLETE
3643,3643,16.71064352236045,2026-01-14 15:30:44.180073,2026-01-14 15:34:08.162767,0 days 00:03:23.982694,0.12071266439173,0.09031576443660995,0.03477685164187172,7.302428886275719,0.3384464110811444,3.866498864256928e-05,7.580196634803106,0.07507981788116108,3.070896525658518,0.6580107537162282,0.002580372558920324,4.41518275470916,0.9628805386459279,COMPLETE
3271,3271,16.71988292166442,2026-01-14 10:56:22.632596,2026-01-14 10:59:21.104245,0 days 00:02:58.471649,0.41109430276010556,0.06760226815124881,0.09077230375683197,10.0813716997469,0.1575592650326826,0.0007120487656688861,8.119206088190644,0.0472774318375497,1.901888439717742,0.5541581319471686,0.09795990347915251,5.676878884015308,0.9419902778253737,COMPLETE
2602,2602,16.72595945074263,2026-01-14 04:58:37.114184,2026-01-14 05:01:49.078868,0 days 00:03:11.964684,0.4104981765595819,0.05962146265699649,0.07286809374044635,7.290036893955357,0.14230992100076106,0.0007064257751196668,7.2182668666049,0.03823616955259001,1.700991017391627,0.4830969739488514,0.04955737265655817,6.738408858118755,0.9382988263286763,COMPLETE
3536,3536,16.745993519911362,2026-01-14 14:36:52.508340,2026-01-14 14:40:08.998355,0 days 00:03:16.490015,0.44958155451658915,0.06381863946925406,0.017123468631054406,10.224438385424346,0.2116596653606505,0.0001221172393474643,6.983107248367427,0.07726963497055112,1.820468194089093,0.6617414711890183,0.06192345406913842,5.668591386907791,0.9332776419675665,COMPLETE
3071,3071,16.777021419691437,2026-01-14 09:25:13.191648,2026-01-14 09:27:58.903923,0 days 00:02:45.712275,0.4380497031175097,0.04988240790973794,0.04967481347057427,6.328215490325864,0.12178343742220869,0.00021258658452613449,7.600691666342761,0.01156992740066536,1.9779641797715293,0.6222239635279535,0.08858354021086291,4.345244439344228,0.9865856428969355,COMPLETE
3396,3396,16.777481435657446,2026-01-14 13:23:58.334815,2026-01-14 13:26:53.392394,0 days 00:02:55.057579,0.4056367890398048,0.06447637391262567,0.04378725207436865,10.152514871774379,0.1912399319827035,0.0002326610821056858,7.486982681447995,0.019236264077212677,2.8236403531639245,0.5998063094422456,0.11591592294168344,5.72719070270755,0.9139858650427356,COMPLETE
3280,3280,16.825855522290624,2026-01-14 11:00:23.125197,2026-01-14 11:03:22.581385,0 days 00:02:59.456188,0.4023525161573937,0.04373689508924692,0.10722266660882396,10.751770552290981,0.15302918932739928,0.00028902976263906507,8.091338948491147,0.06980083738328648,2.1893423879757012,0.5573905580746827,0.10976723830851154,5.643772887876437,0.9640951571307388,COMPLETE
3335,3335,16.89846395635933,2026-01-14 11:24:19.308821,2026-01-14 11:27:01.327548,0 days 00:02:42.018727,0.42142142731980253,0.08260125294528478,0.024228129891646688,9.706351389862357,0.15938114215351995,0.00022685432254323834,7.022064681108764,0.050314022808715206,1.5419020552935576,0.5810602343833716,0.09561339520046527,5.257893239557004,0.982122780132842,COMPLETE
4466,4466,16.898501860188524,2026-01-14 23:04:40.627871,2026-01-14 23:07:54.052614,0 days 00:03:13.424743,0.10878434606068117,0.1252309097201209,0.013943327045214574,8.440729850029914,0.38137032158772183,0.0004889156756818261,7.470852305018234,0.09994607108515924,3.313122334773024,0.48352309490713824,0.00395813705081878,4.27258997908939,0.8719170641617067,COMPLETE
3682,3682,16.90687173689696,2026-01-14 15:50:09.558434,2026-01-14 15:53:30.146101,0 days 00:03:20.587667,0.2676328995920636,0.07315159470655096,0.00048422669535613805,7.674145605565951,0.3231418597928326,0.0003297470555154771,7.971229012947176,0.08289437898871901,2.574103231363667,0.6364762618595509,0.021444322162678144,4.6846711808030586,0.9425240145068515,COMPLETE
