,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,beta,f_cross_layer,m_cross_layer
4654,4654,20.06874577784375,0.00039179241481506876,2.9017259266554105,0.5377826825809996,2.0323498496272645,0.043180047578485016,7.87593827488511,0.027943230445874392,0.4855451317082154,0.01696140653163285,0.7106838519742925
2380,2380,20.071330437281247,0.0003818164450158923,6.426483143849195,0.5256371573371057,1.0011172394279209,0.10317520745603412,8.297588918060155,0.27456206107381753,0.49091551365366815,0.033135850165111676,0.5655014276648154
4947,4947,20.108348399470444,4.9351163554906484e-05,6.842965519021557,0.5578504355520116,1.0002112217669106,0.023264438120529293,8.02273952021296,0.2623498359527547,0.2825731660396762,0.04726977199295841,0.7356250868402141
2478,2478,20.118706581136955,0.0005729173096838418,6.285136942322449,0.5139129506618073,1.896267302103427,0.07626996968081225,9.394170571567027,0.3105126464137031,0.4780068671313462,0.034625119685733355,0.7383590125010091
4788,4788,20.131492486852952,0.0004111014404072838,7.516445434120039,0.5543020303517817,1.842692880308996,0.036288708110632506,8.183728200819324,0.32415928678498046,0.46860956947493154,0.03211484855778323,0.6749719244653216
3934,3934,20.137173530019343,4.028025073608875e-06,8.897916083720862,0.546400411399214,1.6491654983721293,0.061868256422568185,2.240757068552636,0.5342659791314678,0.45949515543336295,0.06576499254086915,0.6953162967002433
4355,4355,20.216619232898196,0.0002204516657982163,2.7789021597961683,0.7015591686623789,2.0190285525587512,0.041895165421041644,8.671741514821989,0.2622730390453597,0.49967359519367466,0.019324602935091386,0.7388652084151006
1651,1651,20.313864832215227,0.0016684991344697627,6.966889177652536,0.531319885729892,1.0534834761225143,0.04375521530859776,8.806051190837309,0.2066090895984913,0.48639615809286607,0.04151277628711798,0.6348221954057836
3001,3001,20.34226757432839,0.000705992191630823,6.146347340817267,0.320669001619601,1.6279919233778868,0.026324496033700424,9.321504237542694,0.25135586397138665,0.4912339948970007,0.03480663329581047,0.6287422629149276
3408,3408,20.35056621264007,0.00011952381445256427,6.562884189944454,0.5092409576809092,1.5707408876749047,0.09271691306889626,8.646247773250039,0.29098142599978977,0.4731202067541178,0.014333399245282104,0.7742547583538758
